Cycle,Direction,Voltage(V),Specific Capacity (mAh/g),Current(A),status,Electrode Type
1,Discharge,0.1162,108.33877145694424,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1159,108.69343169243865,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1147,109.04809192793304,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1156,109.39991488154348,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1143,109.75457511703789,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1137,110.10923535253228,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1137,110.46389558802669,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1134,110.81571854163714,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1128,111.17037877713153,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1122,111.52503901262591,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1122,111.8796992481203,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1119,112.23152220173075,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1112,112.58618243722515,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1109,112.94084267271954,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1103,113.29550290821393,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1106,113.65016314370834,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1091,114.00198609731878,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1094,114.35664633281317,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1085,114.71130656830758,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1088,115.06596680380197,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1085,115.41778975741241,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1078,115.7724499929068,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1081,116.1271102284012,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1069,116.48177046389559,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1063,116.83643069938998,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1063,117.18825365300043,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1063,117.54291388849482,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1063,117.89757412398922,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.105,118.25223435948364,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1057,118.60689459497803,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1054,118.95871754858847,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1047,119.31337778408287,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1047,119.66803801957727,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1044,120.02269825507166,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1044,120.37735849056604,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1038,120.72918144417649,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1041,121.08384167967088,-0.00014973,CCCV DChg,Calendered
